type,pleace,State,Groups Joined,Number of Members,Which day do they allow business posts?
1,Sutton,Massachusetts,The Sutton Site,12.3K members,Any day
1,West Bridgewater,Massachusetts,The West Bridgewater Hub,11.9K members,Any day
1,Westminster,Massachusetts,"Wonderful Westminster, MA",6.5K members,Any day
1,Hanson,Massachusetts,"Hanson, Massachusetts Connect",7.9k members,Any day
1,Bellingham,Massachusetts,Bellingham Buzz & Beyond,5.7k members,Any day
1,Taunton,Massachusetts,"I Live in Taunton,MA",36.1K members,Monday
1,Abington,Massachusetts,Abington Connect,1K members,Any day
1,Taunton,Massachusetts,Improving Taunton,19.7K members,Thursday
1,Abington,Massachusetts,"Everything Abington, MA",8.9K members,Any day
1,Hanson,Massachusetts,Hanson Ma Connection,9.7K members,ONCE a week
1,Abington,Massachusetts,"Life In Abington, MA (Uncensored)",12.8K members,TWICE a week
1,Taunton,Massachusetts,Taunton Residents,11.7K members,Any day
1,Taunton,Massachusetts,Scan Taunton,28.9K members,Any day
1,Taunton,Massachusetts,All Things Taunton,8.3K members,Any day
1,Taunton,Massachusetts,Taunton and Surrounding Area Small Businesses,1.5K members,Any day
1,Westport,Massachusetts,"Town of Westport, Ma. WE THE PEOPLE.",11.5K members,ONCE a week
1,Winchendon,Massachusetts,The Winchendon Residents Page,9.0K members,Any day
1,Hanson,Massachusetts,"Hanson, MA Network",9.3K members,ONCE a week 
1,Abington,Massachusetts,Abington happenings,8.7K members,Any day
1,Whitman,Massachusetts,Whitman 02382,13.1K members,ONCE a month
1,Whitman,Massachusetts,Everything Whitman,3.3K members,Any day
1,Wilbraham,Massachusetts,"Wilbraham MA, Open Forum",10k members,Once a week
1,Whitman,Massachusetts,Whitman Youth Football & Cheerleading,948 members,Any day
1,Whitman,Massachusetts,Whitman Connect,5.5K members,ONCE a month
1,Holliston,Massachusetts,Holliston Bulletin Board,6.1k members,Anyday
1,Whitman,Massachusetts,Whitman Parents,1.2K members,WEDNESDAYS only 
1,Canton,Massachusetts,Everything Canton Ma Community Group,5.4k members,wednesday
1,Whitman,Massachusetts,Lancaster MA Mass Massachusetts,8.3k members,First Monday of each month.
1,Canton,Massachusetts,"Everything Canton, MA",13.2k members,Once a week
1,Rockland,Massachusetts,Everything Rockland,10.4K members,Any day
1,FALMOUTH,Massachusetts,Fabulous Falmouth,38.2K members,Saturday
1,Bellingham,Massachusetts,Bellingham Ma Uncensored,2.4k members ,Any day
