type,pleace,State,Groups Joined,Number of Members,Which day do they allow business posts?
4,Dorchester,Massachusetts,"Growing Up In Dorchester, MA",7.3k members ,Any day
4,Andover,Massachusetts,Andovers Community Group,5.5k members,Any day
4,Worcester,Massachusetts,what’s happening Worcester,31.k members,Any day
4,South Shore,Massachusetts,SOUTH SHORE MA NEWS AND EVENTS,2.8K members,TWICE a month
4,South Shore,Massachusetts,South Shore Massachusetts Events,18.8K members,Any day
4,South Shore,Massachusetts,"South Shore MA, What’s Up?",4.4k members,Any day
3,UNKNOWN,Massachusetts,Taunton & Raynham Scan,9.5K members,Any day                                 <----------------------#################-------------->
3,UNKNOWN,Massachusetts,"YARD SALE ROCKLAND,ABINGTON,WHITMAN PAGE",22.7K members,Any day            <----------------------#################-------------->
3,UNKNOWN,Massachusetts,Whitman/Hanson/EB/Abington List,1.6K members,Any day                        <----------------------#################-------------->
3,UNKNOWN,Massachusetts,Whitman-Hanson Social,2K members,Any day                                    <----------------------#################-------------->
3,UNKNOWN,Massachusetts,Fun Things To Do In Massachusetts,42.9k members,Any day                     <----------------------#################-------------->
3,UNKNOWN,Massachusetts,", MA CURRENT EVENTS",5.6K members,Monday                                   <----------------------#################-------------->
